,title,link,description,pubDate,realDate
45,"Netflix, Disney+ dominate miniseries category at Seoul International Dram...",https://m.entertain.naver.com/article/640/0000057048,"Disney+ took up two slots with “Moving” (2023) and “The Worst of Evil” (2023), and... Actor Song Kang-ho was nominated for the Best Actor category for his recent Disney+ series “Uncle... ",2024-07,2024-07-31
46,Disney+'s 'Moving' wins grand prize for 3rd Blue Dragon Series Awards,https://n.news.naver.com/mnews/article/044/0000259471?sid=104,"Disney+ series &quot;Moving&quot; won the grand prize at the 3rd Blue Dragon Series Awards held on Friday... Netflix, Disney+, Apple TV+, Watcha, Wavve, Kakao TV, Coupang Play and Tving. The nominees for... ",2024-07,2024-07-19
47,Disney Comes for ‘Deadpool’,https://www.nytimes.com/2024/07/30/movies/deadpool-wolverine-disney-marvel.html?partner=naver,"But with “Deadpool &amp; Wolverine,” and Disney’s push into the Marvel Universe, that thread... before Disney acquired it in 2019. The new movie picks up a thread from the previous one when... ",2024-07,2024-07-30
48,"The Best Movies and TV Shows Coming to Disney+, Max, Hulu, Apple TV+ and ...",https://www.nytimes.com/2024/07/01/arts/july-streaming-movies-tv-shows.html?partner=naver,to Disney+ ‘Descendants: The Rise of Red’ Starts streaming: July 12 The 2015 Disney Channel original live-action movie “Descendants” was such a huge success for the network that it has... ,2024-07,2024-07-01
49,Director says Disney+'s 'The Tyrant' shares universe with his 'The Witch'...,https://n.news.naver.com/mnews/article/001/0014807476?sid=104,"Disney-drama series Director says Disney+'s 'The Tyrant' shares universe with his 'The Witch' film franchise By Shim Sun-ah SEOUL, July 15 (Yonhap) -- Acclaimed South Korean director Park Hoon... ",2024-07,2024-07-15
50,"Hyun Bin, Jung Woo-sung to star as rivals in new Disney+ political drama",https://n.news.naver.com/mnews/article/001/0014899886?sid=104,"Disney plus-Korean series Hyun Bin, Jung Woo-sung to star as rivals in new Disney+ political drama SEOUL, Aug. 29 (Yonhap) -- Hyun Bin and Jung Woo-sung have been cast in a new Disney+ series set... ",2024-08,2024-08-29
51,Disney unveils sequels for hit franchises,https://n.news.naver.com/mnews/article/044/0000260135?sid=104,"Disney unveiled an exciting slate of sequels for its popular franchises -- &quot;Avatar,&quot; &quot;Zootopia,&quot; &quot;Moana,&quot; &quot;Toy Story&quot; and &quot;Tron: Legacy” at the eighth D23, the official Disney fan club event... ",2024-08,2024-08-11
52,Families Are Going Into Debt for Disney Vacations,https://www.nytimes.com/2024/08/20/business/disney-vacation-debt.html?partner=naver,"Alyssa Leach and her husband have visited Walt Disney World in Orlando, Fla., every year since... She booked a two-week trip to visit Florida in December 2022, which included stays at Disney... ",2024-08,2024-08-20
53,Can a Disney+ Subscription Keep a Widower From Suing Disney in Court?,https://www.nytimes.com/2024/08/14/nyregion/disney-wrongful-death-lawsuit-arbitration.html?partner=naver,Jeffrey Piccolo sued after his wife died from an allergic reaction to food served at a Disney resort restaurant. Disney wants the case handled by an arbitrator. Months after a man sued Walt... ,2024-08,2024-08-15
54,"Hyun Bin, Jung Woo-sung and more to star in Disney+'s upcoming series 'Ma...",https://m.entertain.naver.com/article/640/0000058333,"Actors Hyun Bin and Jung Woo-sung are set to meet in Disney+'s new series “Made In Korea... Seo Eun-soo, Cho Yeo-jeong, and Jung Sung-il. The new Disney+ series is scheduled to premiere next year.",2024-08,2024-08-29
55,Disney Details Vast Theme Park Expansion Projects,https://www.nytimes.com/2024/08/11/business/disney-parks-new-rides.html?partner=naver,"When Disney announced last year that it planned to spend $60 billion over the next decade to... Disney fans were excited for a hot second — and then they too started to demand answers, venting... ",2024-08,2024-08-11
56,How to Save Disney,https://www.nytimes.com/2024/08/09/opinion/disney-revitalize.html?partner=naver,"Walt Disney Company, the House of the Mouse, which is currently poised somewhere between... either Disney subsidiary’s demise have been greatly exaggerated. In the feast-or-famine landscape of... ",2024-08,2024-08-10
57,Is a Disney Theme Park Vacation Still Worth the Price?,https://www.nytimes.com/2024/08/09/travel/disney-vacation-cost.html?partner=naver,"As Disney has raised the cost of tickets and hotel rooms at its theme parks, and added pricey... Walt Disney World in Orlando, Fla. After traveling to Disney World and Disneyland multiple times a... ",2024-08,2024-08-09
58,Disney desiste de un acuerdo extrajudicial en una demanda por homicidio,https://www.nytimes.com/es/2024/08/20/espanol/disney-demanda-homicidio.html?partner=naver,La compañía argumentaba que el esposo de la fallecida no podía demandar porque firmó un acuerdo al suscribirse a una prueba gratuita de Disney+. Disney retiró el lunes su petición de llegar... ,2024-08,2024-08-21
59,Disney Backs Down From Effort to Use Disney+ Agreement to Block Lawsuit,https://www.nytimes.com/2024/08/20/nyregion/disney-arbitration-allergy-death-lawsuit.html?partner=naver,"at Disney World had waived his right to sue when he signed up for Disney+. Disney withdrew its request to settle a wrongful-death lawsuit out of court on Monday, clearing the way for the case of... ",2024-08,2024-08-21
60,"Paraguay Loves Mickey, Its Cartoon Mouse. Disney Doesn’t.",https://www.nytimes.com/2024/09/14/world/americas/paraguay-mickey-mouse-disney.html?partner=naver,"Yet Mickey (MEE-kay) is a household name to rival Disney across the little-touristed South... There’s “the Disney Mickey,” said Ms. Blasco, one of five siblings who run the business, and... ",2024-09,2024-09-14
61,Disney no pudo vencer al Mickey paraguayo,https://www.nytimes.com/es/2024/09/14/espanol/america-latina/disney-mickey-paraguayo.html?partner=naver,"Sin embargo, Mickey es un nombre familiar que rivaliza con Disney en este país sudamericano... Está “el Mickey de Disney”, dijo —una de los cinco hermanos que llevan el negocio— y “el... ",2024-09,2024-09-14
62,"Disney and DirecTV Reach Deal, Ending ESPN Blackout",https://www.nytimes.com/2024/09/14/business/media/disney-directv-deal-espn-abc.html?partner=naver,Disney and DirecTV said on Saturday that they had reached an agreement that will allow channels... on Disney’s ABC broadcast network. “DirecTV and Disney have a longstanding history of... ,2024-09,2024-09-14
63,"‘Sucession’, versión Disney",https://www.nytimes.com/es/2024/09/15/espanol/negocios/disney-bob-iger-chapek.html?partner=naver,de Disney para una serie de entrevistas en vivo con los medios de comunicación. La empresa... de Disney. Los 15 años de Iger como director ejecutivo habían sido tan exitosos que se había... ,2024-09,2024-09-15
64,Disney characters infused with Korean heritage: &quot;Mickey in the palace&quot; ex...,https://www.arirang.com/news/view?id=276653,"Disney's beloved Mickey Mouse is showcased in a unique way at an art exhibition held in Seoul's Deoksugung Palace. Local artists creatively blend Disney characters with Korean heritage, offering... ",2024-09,2024-09-30
65,Disney characters infused with Korean heritage: &quot;Mickey in the palace&quot; ex...,https://www.arirang.com/news/view?id=276643,"Disney's beloved Mickey Mouse is showcased in a unique way at an art exhibition held in Seoul's Deoksugung Palace. Local artists creatively blend Disney characters with Korean heritage, offering... ",2024-09,2024-09-30
66,"Korea Heritage Service, Disney to bring Mickey to royal palace",https://www.koreatimes.co.kr/www/culture/2024/09/262_382909.html?na,"Walt Disney Company Korea. The agency said this event will showcase works by local artists depicting Disney characters naturally blending with royal heritage at Dondeokjeon Hall, as part of its... ",2024-09,2024-09-23
67,Disney Animation Boss Steps Down to Focus on ‘Frozen’ Sequels,https://www.nytimes.com/2024/09/19/business/jennifer-lee-disney-animation-frozen.html?partner=naver,"Walt Disney Animation Studios is replacing Jennifer Lee, its chief creative officer, after an uneven six-year tenure. Disney shook up its animation leadership on Thursday as part of an ongoing... ",2024-09,2024-09-20
68,Hyundai Department Store launches Disney pop-up,https://n.news.naver.com/mnews/article/640/0000059097?sid=101,Hyundai Department Store announced Thursday that it would open its first Disney pop-up on the basement floor of its Kintex branch from Friday to Sept. 30. The store will sell around 800 Disney... ,2024-09,2024-09-19
69,Satellite TV Is in Trouble. DirecTV’s Dispute With Disney Shows Why.,https://www.nytimes.com/2024/09/12/business/media/directv-disney-dispute.html?partner=naver,"and Disney that has dragged on over the past two weeks. In many ways, the two businesses are... with Disney on issues including market rates and “the ability to offer smaller, more flexible... ",2024-09,2024-09-13
70,Disney characters infused with Korean heritage: &quot;Mickey in the palace&quot; ex...,https://www.arirang.com/news/view?id=276704,"Disney's magic meets Korea's history. In collaboration with Disney Korea, the Korea Heritage Service is showcasing the work of nine artists who have creatively blended Korea's royal heritage with... ",2024-10,2024-10-02
71,Disney characters infused with Korean heritage: &quot;Mickey in the palace&quot; ex...,https://www.arirang.com/news/view?id=276680,"Disney's beloved Mickey Mouse is showcased in a unique way at an art exhibition held in Seoul's Deoksugung Palace. Local artists creatively blend Disney characters with Korean heritage, offering... ",2024-10,2024-10-02
72,"At $300m, Jules Verne-inspired Nautilus is the most expensive Australian-...",https://www.econotimes.com/At-300m-Jules-Verne-inspired-Nautilus-is-the-most-expensive-Australian-made-show-But-Disney-was-right-to-dump-it-1691743,"Enter Disney, which has perfected the strategy over the past few decades of retelling the same... fiction, Disney has, more than any other corporation, become an expert at co-opting social... ",2024-10,2024-10-25
73,From Mickey Mouse to Marvel: Disney exhibition brings studio's century of...,https://m.entertain.naver.com/article/640/0000060858,"Walt Disney once famously said, “I only hope that we never lose sight of one thing — that it... Walt Disney Archives. The Walt Disney Company is reflecting on its past century of work with a... ",2024-10,2024-10-30
74,Disney Says It Will Hire a New C.E.O. in ‘Early 2026’,https://www.nytimes.com/2024/10/21/business/disney-ceo-succession-james-gorman-chairman.html?partner=naver,"Disney said on Monday that it would name a new chief executive in “early 2026,” which is later than many in Hollywood had expected. The timeline — the first Disney has described publicly... ",2024-10,2024-10-21
75,"While Disney Remains Open, Other Florida Parks Announce Closures",https://www.nytimes.com/2024/10/07/weather/hurricane-milton-walt-disney-world.html?partner=naver,"Walt Disney World Resort and Universal Orlando Resort, remained open as of Monday. Disney announced that Walt Disney World, which includes Magic Kingdom, EPCOT and ESPN Wide World of Sports... ",2024-10,2024-10-08
76,¿Visitas un parque de Disney? Aquí te explicamos cómo pasar menos tiem...,https://www.nytimes.com/es/2024/10/03/espanol/estados-unidos/reducir-tiempo-filas-disney.html?partner=naver,"Disney World, en Orlando, Florida, y Disneylandia, en Anaheim, California. Algunos visitantes son asiduos: Haydee Chachamovits, de 43 años y residente en Aventura, Florida, ha estado en Disney... ",2024-10,2024-10-03
77,Visiting a Disney Park? Here’s How to Spend Less Time in Line.,https://www.nytimes.com/2024/10/02/travel/disney-world-disneyland-lines.html?partner=naver,"Long waits can take a bite out of the magic at places like Walt Disney World and Disneyland.... Millions flock to parks like Walt Disney World, in Orlando, Fla., and Disneyland, in Anaheim... ",2024-10,2024-10-02
78,100 years of Disney magic to be showcased in Seoul for first time in Asia,https://www.arirang.com/news/view?id=277294,"Disney magic has arrived in Seoul. The first installment of its kind in Asia, the Disney 100 Exhibition, showcasing 100 years of Disney has opened its doors. From Mickey Mouse to Captain America... ",2024-10,2024-10-22
79,100 years of Disney magic to be showcased in Seoul for first time in Asia,https://www.arirang.com/news/view?id=277282,"Meanwhile Korea is the venue of Asia's first Disney 100 Exhibition which seeks to share the... Walt Disney. Now, marking a first in Asia, a special exhibition has arrived in Korea, offering a... ",2024-10,2024-10-22
80,"Disney+ unveils future slate, calls Korea 'key pillar' to content strateg...",https://m.entertain.naver.com/article/640/0000061897,"SINGAPORE — Korea is a &quot;key pillar&quot; to The Walt Disney Company, providing nine of the company... hit Disney+ series &quot;Moving&quot; (2023). &quot;With the global success we've seen with Korean originals... ",2024-11,2024-11-22
81,Disney+ expands Korean content with ambitious new slate,https://n.news.naver.com/mnews/article/001/0015060153?sid=104,"Disney-Korean content Disney+ expands Korean content with ambitious new slate By Woo Jae-yeon SINGAPORE, Nov. 21 (Yonhap) -- Disney has intensified its investment in Korean original content... ",2024-11,2024-11-21
82,"Disney+ unveils Asia-Pacific lineup for 2025, confirms season 2 of 'Movin...",https://n.news.naver.com/mnews/article/044/0000263449?sid=104,"Walt Disney Company Asia Pacific Thursday regarding the upcoming slate of Disney+ Asia Pacific content. &quot;Moving&quot; is an action-fantasy series, but at its core, it is a coming-of-age story about... ",2024-11,2024-11-21
83,Disney+ unveils new star-studded Korean dramas,https://n.news.naver.com/mnews/article/023/0003872009?sid=104,"At the Disney Content Showcase 2024, held at Marina Bay Sands in Singapore on Nov. 21, Disney unveiled six original Korean dramas slated for release on Disney+ later this year and in 2025. The... ",2024-11,2024-11-22
84,Disney+ offers sneak peek at 2025 lineup of Korean originals,https://n.news.naver.com/mnews/article/044/0000263460?sid=104,SINGAPORE — Disney+ offered a sneak peek at its highly anticipated lineup of Korean originals... As part of the Disney Contents Showcase Asia Pacific 2024 event held at the Sands Expo... ,2024-11,2024-11-21
85,"Action, adventure, drama: 10 K-content projects revealed in Disney+'s upc...",https://m.entertain.naver.com/article/640/0000062002,"SINGAPORE — Disney+ is gearing up to put viewers on the edge of their seats next year with a... The lineup was announced during the 2024 Disney APAC Content Showcase, which was held on Nov. 20... ",2024-11,2024-11-25
86,"[News Today] K-POP FIRST, SEVENTEEN ON DISNEY",https://n.news.naver.com/mnews/article/056/0011843513?sid=104,"This marks the first time a K-pop act has featured in the nine-year Disney tradition. In a K-pop first, boy band Seventeen will appear in a special yearend Disney program. American ABC TV, on its... ",2024-11,2024-11-22
87,(LEAD) Disney+ expands Korean content with ambitious new slate,https://n.news.naver.com/mnews/article/001/0015060900?sid=104,"Disney-Korean content Disney+ expands Korean content with ambitious new slate By Woo Jae-yeon SINGAPORE, Nov. 21 (Yonhap) -- Disney has intensified its investment in Korean original content... ",2024-11,2024-11-21
